,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
148,CHEMBL3685258,2.0,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4cccc(OC(F)(F)F)c4)c3)ncnc12,8.698970004336019,481.136174096,6,3,4.4917000000000025,True
149,CHEMBL2380826,2.0,nM,Cc1ccc(C(=O)Nc2ccc(Nc3ccnc4[nH]c(=O)c5ccccc5c34)cc2)cc1,8.698970004336019,420.15862588,4,3,5.380620000000003,True
150,CHEMBL3393470,2.0,nM,COC(=O)c1[nH]cc2c1NC1=C(C(=O)CCC1)C2c1ccc(Sc2nc3ccccc3[nH]2)o1,8.698970004336019,460.1205261200001,7,3,4.9863000000000035,True
151,CHEMBL1097454,2.0,nM,O=C(Nc1ccccc1)Nc1ccc(-c2nn(CCCO)cc2-c2ccnc3[nH]ccc23)cc1,8.698970004336019,452.19607400800004,5,4,5.119800000000004,True
152,CHEMBL3393472,2.0,nM,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CNC1)C2c1ccc(Sc2nc3ccccc3[nH]2)o1.Cl.O,8.698970004336019,529.1186675480001,8,4,3.3928000000000016,True
154,CHEMBL2380823,2.0,nM,O=C(Nc1ccc(Nc2ccnc3[nH]c(=O)c4ccccc4c23)cc1)c1ccccc1F,8.698970004336019,424.133554004,4,3,5.211300000000002,True
155,CHEMBL3685280,2.0,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccccc4F)c3)ncnc12,8.698970004336019,415.144453036,5,3,3.7322000000000015,True
156,CHEMBL216769,2.0,nM,COc1cc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2cc1OCCCN1CCC(CO)CC1,8.698970004336019,563.2656307880002,9,4,3.8986000000000027,True
157,CHEMBL469205,2.0,nM,Cc1[nH]nc2c1CCCc1c-2[nH]c2cc3c(cc12)NC(=O)C3(C)C,8.698970004336019,320.16371125999996,2,3,3.5848200000000014,True
158,CHEMBL217804,2.0,nM,CCCN(CCO)CCCOc1cc2ncnc(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)c2cc1OC,8.698970004336019,551.2656307880001,9,4,3.8986000000000027,True
159,CHEMBL2380839,2.0,nM,COc1ccccc1C(=O)Nc1ccc(Nc2ccnc3[nH]c(=O)c4ccccc4c23)cc1,8.698970004336019,436.15354049999996,5,3,5.080800000000003,True
160,CHEMBL3680480,2.1,nM,CCOc1cc(C(=O)Nc2cccc(C(C)Nc3ncnc4c(C(N)=O)cccc34)c2)ccn1,8.67778070526608,456.190988628,7,3,3.9478000000000018,True
162,CHEMBL3680392,2.1,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccnc(N5CCCC5)c4)c3)ncnc12,8.67778070526608,467.2069730400001,7,3,3.588300000000002,True
