,Nome,SMILES,SMILES_Canonic
9096,"NUBBE_152 # Methyl-2,2-dimethyl-8-(3'-methylbut-2'-enyl)-2H-chromene-6-carboxylate",O=C(c1cc2C=CC(Oc2c(c1)CC=C(C)C)(C)C)OC,COC(=O)c1cc2c(c(CC=C(C)C)c1)OC(C)(C)C=C2
9097,NUBBE_1530 # epoxy-fraxinellone,c1occc1[C@@H]1OC(=O)[C@@]23[C@]1(C)CCC[C@]3(O2)C,C[C@@]12CCC[C@]3(C)[C@H](c4ccoc4)OC(=O)[C@@]13O2
9098,NUBBE_1537 # β-bourbonene,C=C1[C@H]2[C@H](CC1)[C@@]1([C@@H]2[C@H](C(C)C)CC1)C,C=C1CC[C@H]2[C@H]1[C@H]1[C@H](C(C)C)CC[C@@]12C
9099,NUBBE_1538 # β-cubebene,C=C1CC[C@]23[C@H]1[C@H]2[C@H](C(C)C)CC[C@H]3C,C=C1CC[C@@]23[C@@H]([C@@H]12)[C@H](C(C)C)CC[C@H]3C
9100,NUBBE_1539 # β-elemene,C=C([C@H]1[C@@](C=C)(C)CC[C@H](C1)C(=C)C)C,C=C[C@]1(C)CC[C@@H](C(=C)C)C[C@H]1C(=C)C
9101,NUBBE_153 # (2S)-8-Isopentyl-2-methyl-2-(4'-methylpentyl)chroman-6-carboxylic acid,OC(=O)c1cc(c2c(c1)CC[C@](O2)(C)CCCC(C)C)CCC(C)C,CC(C)CCC[C@@]1(C)CCc2cc(C(=O)O)cc(CCC(C)C)c2O1
9102,NUBBE_1540 # β-gurjunene,C=C1CC[C@@H]2[C@@H]1[C@@H]1[C@@H](C1(C)C)CC[C@H]2C,C=C1CC[C@@H]2[C@@H]1[C@@H]1[C@H](CC[C@H]2C)C1(C)C
9103,NUBBE_1541 # Alloaromadendrene,C=C1[C@@H]2CC[C@H]([C@H]2[C@@H]2[C@H](CC1)C2(C)C)C,C=C1CC[C@H]2[C@@H]([C@@H]3[C@H](C)CC[C@@H]13)C2(C)C
9104,NUBBE_1542 # Bicyclogermacrene,C\1=C(\C)/CC[C@@H]2[C@H](/C=C(/CC1)\C)C2(C)C,C/C1=C\[C@H]2[C@@H](CC/C(C)=C/CC1)C2(C)C
9105,NUBBE_1543 # α-Bisabolene,C(=C(C)C)C/C=C(\[C@H]1CC=C(CC1)C)/C,CC(C)=CC/C=C(/C)[C@H]1CC=C(C)CC1
9106,NUBBE_1544 # γ-Bisabolene,C(=C(C)C)CC/C(=C\1/CC=C(CC1)C)/C,CC(C)=CCC/C(C)=C1/CC=C(C)CC1
9107,NUBBE_1545 # 7-epi-α-Selinene,C=C([C@H]1CC[C@@]2([C@@H](C1)C(=CCC2)C)C)C,C=C(C)[C@H]1CC[C@@]2(C)CCC=C(C)[C@@H]2C1
9108,"NUBBE_1546 # 2α,3α,4β-Triacetoxypregnan-16-one",O=C(C)O[C@H]1C[C@@]2(C)[C@H]3CC[C@]4([C@@H]([C@H]3CC[C@H]2[C@@H]([C@@H]1OC(=O)C)OC(=O)C)CC(=O)[C@H]4CC)C,CC[C@@H]1C(=O)C[C@@H]2[C@H]3CC[C@H]4[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)C[C@@]4(C)[C@H]3CC[C@]12C
9109,"NUBBE_1547 # 2β,3β-Dihydroxypregnan-16-one",O[C@@H]1C[C@@H]2[C@@](C[C@@H]1O)(C)[C@@H]1CC[C@@]3([C@@H]([C@@H]1CC2)CC(=O)[C@@H]3CC)C,CC[C@H]1C(=O)C[C@@H]2[C@@H]3CC[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@@H]3CC[C@]21C
9110,"NUBBE_1548 # 2β,3β-Diacetoxypregnan-16-one",C1C(=O)[C@H]([C@]2([C@@H]1[C@@H]1CC[C@H]3[C@]([C@@H]1CC2)(C)C[C@@H]([C@@H](C3)OC(=O)C)OC(=O)C)C)CC,CC[C@@H]1C(=O)C[C@H]2[C@@H]3CC[C@@H]4C[C@@H](OC(C)=O)[C@@H](OC(C)=O)C[C@]4(C)[C@@H]3CC[C@@]12C
9111,"NUBBE_1549 # 21,24,25,26,27-pentanor-15,22-oxo-7α,23-diacetate-apotirucalla(eupha)-1-en-3-one",C1=C[C@]2(C)[C@H]3CC[C@@]4([C@H]([C@]3(C)[C@@H](C[C@H]2C(C1=O)(C)C)OC(=O)C)C(=O)C[C@H]4CC(=O)COC(=O)C)C,CC(=O)OCC(=O)C[C@@H]1CC(=O)[C@@H]2[C@@]1(C)CC[C@@H]1[C@@]3(C)C=CC(=O)C(C)(C)[C@@H]3C[C@@H](OC(C)=O)[C@]12C
9112,NUBBE_154 # (2S)-Methyl-2-methyl-8-(3'-methylbut-2'-enyl)-2-(4'-methylpent-3'-enyl)-2H-chromene-6-carboxylate,O=C(c1cc2c(c(c1)CC=C(C)C)O[C@@](C=C2)(C)CCC=C(C)C)OC,COC(=O)c1cc2c(c(CC=C(C)C)c1)O[C@@](C)(CCC=C(C)C)C=C2
