,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
23,CHEMBL295806,5.0,nM,O=C(OC1CCCC1Cc1ccc(O)cc1)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1,8.301029995663981,492.1420323479999,8,5,4.006400000000004,True
30,CHEMBL66923,5.0,nM,COC(=O)c1cccc(O)c1C(=O)c1c(O)cc(C(=O)O[C@@H]2CCC[C@H]2NC(=O)c2ccc(O)cc2)cc1O,8.301029995663981,535.147846,10,5,3.0345000000000018,True
32,CHEMBL570047,5.2,nM,Cc1c(Nc2c(C#N)cncc2-c2cc3cc(CN4CCCCC4)ccc3s2)ccc2[nH]ccc12,8.2839966563652,477.19871686400006,5,2,7.354200000000005,True
33,CHEMBL2151412,5.7,nM,CN1CCN(c2nc(C3=C(c4cn(C)c5ccccc45)C(=O)NC3=O)c3ccccc3n2)CC1,8.244125144327509,452.196074008,7,1,2.4405,True
34,CHEMBL593883,5.8,nM,Cc1c(Nc2c(C#N)cncc2/C=C/CCN2CCC(N)CC2)ccc2[nH]ccc12,8.236572006437063,400.23754489600003,5,3,4.313000000000002,True
39,CHEMBL2151410,6.2,nM,CN1CCN(c2nc(C3=C(c4c[nH]c5c(Cl)cccc45)C(=O)NC3=O)c3ccccc3n2)CC1,8.207608310501746,472.141451592,6,2,3.083500000000001,True
40,CHEMBL2153755,6.3,nM,CN1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccc(F)cc3n2)CC1,8.200659450546418,456.171002132,6,2,2.5692000000000004,True
41,CHEMBL568580,7.3,nM,CN1CCN(c2cc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc3c2)CC1,8.136677139879545,436.189926008,4,2,3.640100000000002,True
42,CHEMBL2147537,8.0,nM,C[C@H](N)CNc1nc(-c2ccncc2)cc2cnccc12,8.096910013008056,279.148395544,5,2,2.4509000000000007,True
43,CHEMBL593163,8.0,nM,Cc1c(Nc2c(C#N)cncc2/C=C/CN2CCC(N)CC2)ccc2[nH]ccc12,8.096910013008056,386.221894832,5,3,3.922900000000002,True
44,CHEMBL567103,8.2,nM,Cc1c(Nc2c(C#N)cncc2-c2coc(CN3CCC(N(C)C)CC3)c2)ccc2[nH]ccc12,8.086186147616283,454.24810958000006,6,2,5.272600000000005,True
45,CHEMBL2151409,8.2,nM,CN1CCN(c2nc(C3=C(c4c[nH]c5cc(Cl)ccc45)C(=O)NC3=O)c3ccccc3n2)CC1,8.086186147616283,472.141451592,6,2,3.083500000000001,True
46,CHEMBL4085837,9.4,nM,CN(C)Cc1ccc2c(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c(Cl)ccc2c1,8.0268721464003,429.12440455999996,3,2,4.603300000000003,True
