,molecule_chembl_id,IC50,units,smiles,pIC50
62,CHEMBL585753,16.0,nM,Cc1c(Nc2c(C#N)cncc2-c2cc3cc(CNCC(O)CO)ccc3o2)ccc2[nH]ccc12,7.795880017344075
63,CHEMBL571581,17.0,nM,Cc1c(Nc2c(C#N)cncc2-c2cc3cc(CN4CCN(C)CC4)ccc3o2)ccc2[nH]ccc12,7.769551078621726
64,CHEMBL4064291,17.0,nM,CN(C)Cc1ccc2c(C3=C(c4cn(C)c5ccccc45)C(=O)NC3=O)c(Cl)ccc2c1,7.769551078621726
65,CHEMBL494166,18.0,nM,Cc1c(Nc2c(C#N)cncc2-c2ccc(OCCNCCN(C)C)cc2)ccc2[nH]ccc12,7.7447274948966935
66,CHEMBL1080994,18.0,nM,Cc1c(Nc2c(C#N)cncc2/C=C/c2cccc(S(=O)(=O)N3CCN(C)CC3)c2)ccc2[nH]ccc12,7.7447274948966935
67,CHEMBL4289707,18.0,nM,N#Cc1cnc(NCc2ccccc2OC(F)(F)F)nc1NC[C@]12C[C@@H]3C[C@H](C1)[C@@H](NCCO)[C@@H](C3)C2,7.7447274948966935
68,CHEMBL304626,18.0,nM,COC(=O)c1cccc(O)c1C(=O)c1c(O)cc(C(=O)O[C@@H]2CNC[C@H]2NC(=O)c2ccc(O)cc2)cc1O,7.7447274948966935
69,CHEMBL605318,18.0,nM,Cc1c(Nc2c(C#N)cncc2/C=C/CCCN2CCC(N)CC2)ccc2[nH]ccc12,7.7447274948966935
70,CHEMBL568581,18.0,nM,Cc1c(Nc2c(C#N)cncc2-c2coc(CN3CCN(C4CCCC4)CC3)c2)ccc2[nH]ccc12,7.7447274948966935
71,CHEMBL606148,18.0,nM,Cc1c(Nc2c(C#N)cncc2/C=C/CCN2CC[C@H](N)C2)ccc2[nH]ccc12,7.7447274948966935
72,CHEMBL1088737,18.0,nM,Cc1c(Nc2c(C#N)cncc2/C=C/c2cccc(CN3CCC(N(C)C)CC3)n2)ccc2[nH]ccc12,7.7447274948966935
73,CHEMBL60455,20.0,nM,O=C(N[C@@H]1CCC[C@H]1COC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1,7.698970004336019
74,CHEMBL294303,20.0,nM,O=C(N[C@@H]1CCC[C@H]1OCc1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1,7.698970004336019
75,CHEMBL1214929,20.0,nM,NCCNc1nc(-c2ccncc2)cc2cnccc12,7.698970004336019
76,CHEMBL48988,20.0,nM,O=C(OC1CCCC1Oc1ccc(O)cc1)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1,7.698970004336019
77,CHEMBL308263,20.0,nM,NC[C@@H]1C[C@@H](NC(=O)c2ccc(O)cc2)[C@H](OC(=O)c2cc(O)c(C(=O)c3c(O)cccc3C(=O)O)c(O)c2)C1,7.698970004336019
78,CHEMBL49354,20.0,nM,O=C(NC1CNCCCC1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1,7.698970004336019
79,CHEMBL80525,20.0,nM,O=C(N[C@@H]1C2CCC(C2)[C@H]1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1,7.698970004336019
80,CHEMBL67290,20.0,nM,NC[C@@H]1C[C@H](NC(=O)c2ccc(O)cc2)[C@H](OC(=O)c2cc(O)c(C(=O)c3c(O)cccc3C(=O)O)c(O)c2)C1,7.698970004336019
81,CHEMBL431955,20.0,nM,O=C(N[C@H]1C[C@@H](CO)C[C@H]1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1,7.698970004336019
82,CHEMBL298872,20.0,nM,O=C(N[C@@H]1CCC[C@H]1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2-c2nn[nH]n2)c(O)c1)c1ccc(O)cc1,7.698970004336019
83,CHEMBL569822,20.0,nM,Cc1c(Nc2c(C#N)cncc2-c2cc3cc(CN4CCN(CCN(C)C)CC4)ccc3o2)ccc2[nH]ccc12,7.698970004336019
84,CHEMBL305667,20.0,nM,O=C(NC1C2CCC(C2)C1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1,7.698970004336019
85,CHEMBL75004,20.0,nM,O=C(N[C@@H]1C[C@@H](CO)C[C@H]1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1,7.698970004336019
86,CHEMBL583903,21.0,nM,Cc1c(Nc2c(C#N)cncc2-c2cc3cc(CNCCCO)ccc3o2)ccc2[nH]ccc12,7.6777807052660805
87,CHEMBL4763675,21.0,nM,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4=O,7.6777807052660805
88,CHEMBL585307,22.0,nM,Cc1c(Nc2c(C#N)cncc2-c2cccc(CN3CCN(C)CC3)c2)ccc2[nH]ccc12,7.657577319177793
89,CHEMBL593619,22.0,nM,Cc1c(Nc2c(C#N)cncc2/C=C/CN2CCNCC2)ccc2[nH]ccc12,7.657577319177793
90,CHEMBL67528,24.0,nM,CC(=O)OCOC(=O)c1cccc(O)c1C(=O)c1c(O)cc(C(=O)O[C@@H]2CNC[C@H]2NC(=O)c2ccc(O)cc2)cc1O,7.619788758288394
91,CHEMBL1085671,24.0,nM,Cc1c(Nc2c(C#N)cncc2/C=C/c2cccc(CN3CCN(C)CC3)c2)ccc2[nH]ccc12,7.619788758288394
92,CHEMBL516913,24.0,nM,COc1ccc(CN(C)C)cc1-c1cc2c(Nc3ccc4[nH]ccc4c3C)c(C#N)cnc2s1,7.619788758288394
93,CHEMBL567299,25.0,nM,Cc1c(Nc2c(C#N)cncc2-c2ccc(CN3CCN(C)CC3)cc2)ccc2[nH]ccc12,7.6020599913279625
94,CHEMBL565353,25.0,nM,Cc1c(Nc2c(C#N)cncc2/C=C/c2cccc(OCCN3CCCC3)c2)ccc2[nH]ccc12,7.6020599913279625
95,CHEMBL569108,25.0,nM,Cc1c(Nc2c(C#N)cncc2-c2cc3cc(CN4CCCCC4)ccc3o2)ccc2[nH]ccc12,7.6020599913279625
96,CHEMBL2151414,25.0,nM,Cc1[nH]c2ccccc2c1C1=C(c2nc(N3CCN(C)CC3)nc3ccccc23)C(=O)NC1=O,7.6020599913279625
97,CHEMBL567930,25.0,nM,Cc1c(Nc2c(C#N)cncc2-c2cccc(CN(C)C)c2)ccc2[nH]ccc12,7.6020599913279625
